424,786,1.3
621,198,4.4
841,293,1.9
711,353,2.2
348,593,2.1
876,758,0.1
570,319,0.0
722,445,3.3
214,417,1.4
391,452,0.9
738,192,2.9
479,116,1.0
483,125,3.2
907,189,3.0
208,392,4.2
636,240,0.8
765,924,3.3
920,758,1.4
156,675,2.6
190,904,2.0
138,968,5.0
585,402,1.5
671,608,4.7
266,901,1.4
715,650,1.6
203,734,0.7
257,684,1.8
234,277,4.0
914,536,2.4
163,188,4.1
799,855,0.0
718,651,0.7
479,567,1.1
196,159,0.4
402,823,3.4
267,199,2.6
198,690,2.7
485,575,2.6
117,476,0.9
653,359,0.1
805,171,4.0
957,196,1.6
589,399,2.2
576,786,1.3
693,241,4.8
658,418,2.2
703,864,2.2
583,506,0.2
989,503,0.2
308,893,2.5
825,772,2.4
115,608,2.8
778,101,4.4
500,990,4.6
255,445,1.8
281,385,0.4
232,688,2.6
629,221,0.8
945,519,5.0
410,268,2.8
376,963,2.4
605,112,3.7
623,218,2.3
297,738,1.7
178,398,2.2
803,814,5.0
435,443,1.0
232,685,2.0
939,367,4.6
277,503,0.1
340,105,4.3
576,902,1.5
758,714,3.5
723,210,3.8
686,423,3.1
336,907,4.1
385,139,1.4
366,308,4.8
234,485,1.8
134,987,0.3
310,471,3.4
220,748,2.1
214,828,4.3
872,139,2.6
670,242,0.3
671,420,0.6
765,526,0.0
853,743,0.8
241,991,4.0
886,494,1.3
725,426,0.1
956,966,2.4
811,150,4.1
678,654,1.0
852,759,3.8
732,654,3.5
998,434,0.0
203,844,0.5
182,386,4.0
973,892,1.2
799,539,1.8
514,176,3.4
731,977,5.0
807,904,2.5
729,658,2.2
565,544,3.6
569,532,2.5
288,730,0.1
330,190,4.9
773,717,0.0
504,984,2.2
826,196,2.8
682,596,0.8
790,459,0.8
164,682,2.1
616,643,5.0
363,782,4.1
939,285,4.6
687,689,0.2
612,307,2.9
385,358,0.1
512,980,4.1
663,737,4.3
182,622,3.4
749,576,5.0
360,160,1.6
539,979,4.2
828,820,3.4
105,456,2.1
337,551,0.3
939,225,0.3
145,283,1.0
236,876,1.3
160,382,0.9
821,840,3.2
921,269,2.7
565,526,3.5
319,317,3.6
354,732,2.7
908,680,0.6
994,581,3.2
721,429,0.1
744,505,2.0
731,871,0.2
469,866,1.2
728,956,4.9
821,790,3.8
952,459,2.4
467,204,0.5
279,308,1.9
391,839,0.7
941,117,3.8
669,905,1.0
862,548,2.3
928,716,2.4
360,951,1.5
869,839,1.1
797,694,2.2
455,255,2.3
532,173,1.3
186,640,2.7
980,401,3.2
723,971,3.2
818,411,3.7
225,292,2.6
998,127,4.3
203,984,0.1
737,337,1.2
430,984,1.8
857,622,2.9
986,709,1.2
735,425,4.6
203,492,4.1
516,537,4.6
834,565,4.9
485,624,4.7
627,246,4.6
356,551,0.3
769,298,2.6
251,590,0.6
896,716,3.9
669,129,2.5
533,882,3.4
203,740,1.6
738,405,0.5
596,412,1.6
252,591,2.3
869,218,1.7
592,691,4.4
309,627,2.3
457,183,0.8
827,878,1.2
354,145,0.2
400,373,2.2
378,621,1.8
932,418,1.0
438,865,2.1
234,507,3.0
773,456,4.8
287,274,4.0
964,126,1.8
429,701,1.6
339,890,2.8
404,679,2.3
957,662,2.4
287,786,3.1
984,126,4.6
266,667,1.5
514,774,1.1
837,714,2.3
132,496,1.4
668,914,2.7
709,756,3.6
662,788,1.2
259,438,2.2
509,679,3.2
852,628,2.6
131,216,1.6
991,283,1.2
453,270,2.3
534,853,4.1
734,923,1.8
329,716,0.7
313,277,1.9
461,915,3.3
721,501,0.8
862,804,1.2
751,178,0.9
842,949,2.6
503,441,4.0
939,502,3.2
795,176,1.1
654,953,1.4
653,543,0.4
927,918,2.8
434,261,0.4
406,835,4.2
694,975,2.9
226,101,4.2
909,640,2.1
419,380,1.6
971,899,1.1
704,872,1.2
107,918,2.4
737,369,0.0
908,848,0.3
174,735,2.1
544,598,2.8
509,712,0.8
365,419,2.2
127,377,4.5
656,481,1.1
981,278,2.3
430,976,1.2
500,641,3.0
807,925,3.6
344,306,1.9
181,705,1.9
901,760,1.4
535,267,0.2
779,568,3.6
280,447,3.4
933,905,0.3
621,962,3.7
943,296,0.0
527,249,3.0
360,525,1.5
674,667,0.0
558,924,3.2
379,245,3.3
656,417,2.3
417,482,1.7
781,607,3.5
388,753,3.0
527,881,1.9
757,439,3.8
710,935,4.3
191,510,4.8
623,312,3.7
500,755,2.6
367,759,4.0
367,553,3.1
915,542,1.5
728,288,3.7
826,835,5.0
342,433,4.6
232,467,0.9
976,966,4.6
562,705,3.9
130,826,2.2
829,191,2.8
938,188,3.3
232,972,3.0
794,116,3.2
480,595,3.3
915,603,3.0
931,181,3.1
369,906,3.0
459,381,0.0
786,180,2.8
624,227,3.8
171,332,3.5
213,651,1.1
190,567,1.1
400,734,0.8
179,425,1.1
172,127,1.0
173,905,3.9
194,501,4.4
863,768,3.0
233,925,4.3
277,946,2.3
501,921,5.0
181,714,1.2
722,392,3.2
705,948,1.9
244,221,1.9
194,781,3.9
733,476,1.5
312,749,2.4
578,267,2.0
522,754,1.7
305,138,3.7
996,490,2.6
889,242,2.2
435,556,3.4
948,942,4.4
237,404,4.9
908,131,3.0
406,563,4.3
914,606,0.3
166,117,3.4
126,361,4.0
952,694,4.0
768,325,0.9
318,887,1.1
664,453,2.7
649,348,0.7
769,486,3.2
540,636,0.8
667,870,0.3
293,591,2.1
515,329,3.9
602,745,2.9
671,917,2.0
848,430,2.4
271,112,1.2
121,886,2.4
518,564,1.2
648,718,3.3
502,337,0.2
789,945,1.0
451,788,4.6
406,141,2.1
569,148,4.0
650,963,0.2
317,709,4.2
183,490,4.1
125,921,1.6
395,669,3.3
632,924,0.8
442,906,2.8
248,483,3.2
842,390,2.7
524,569,4.0
945,399,1.2
260,730,4.5
563,297,2.9
211,405,0.7
709,349,2.0
296,717,1.5
802,325,2.7
185,738,3.9
284,313,2.7
321,713,3.5
294,461,5.0
521,244,5.0
497,294,5.0
807,444,2.8
219,999,2.0
501,192,1.7
737,753,3.9
893,925,4.5
555,588,0.1
971,378,0.5
541,623,1.3
432,711,3.7
279,730,0.2
827,445,0.9
701,440,0.9
712,164,3.5
441,722,2.1
477,740,3.3
183,182,4.5
339,103,3.5
582,146,0.0
240,816,0.8
202,972,2.4
176,262,5.0
343,440,1.8
612,297,1.4
173,134,2.3
411,301,1.8
451,130,4.2
451,264,1.4
461,430,2.7
704,753,2.1
391,317,3.3
476,237,0.6
481,457,2.1
578,691,1.3
790,149,3.2
642,103,1.8
892,730,4.3
644,701,3.4
591,377,4.3
461,534,3.3
357,530,2.6
104,881,4.8
328,294,0.1
528,648,3.0
871,766,4.8
475,137,3.9
281,444,3.1
166,447,2.0
309,791,4.9
556,974,1.5
288,168,4.8
467,899,3.3
290,380,4.2
735,186,1.4
194,975,4.4
837,643,1.4
806,370,0.9
889,837,2.8
949,798,4.1
841,859,4.7
644,944,2.0
